polarity,processed
anger,lg sebel bgt hibur aku donggg
sad,yaah kok chat dari sad panther ilang sih
anger,masa di depan rumah get kayak ada yg lagi mainin pager
joy,yuk udah lama engga nih m divorc
anger,ini cowok kenapa sih merajuk mulu dari kemaren ditanya malah kasih emot apa coba maunya tu orang
netral,yang mau fr kesini aja free kok
fear,tiati cuy dulu di tell suka ada yg kaya ngaku cewek tru nanyain nomer wa lo dan nomor lo langsung dituli di stori dibilang nomor cowok ga bener nih dan play victim
joy,masih mencari mba mba wanita karier yg kerja didaerah sudirman thamrin kerja di sudriman siapa tau bisa pulang bareng
joy,baru kali ini gw bisa menarik didepan orng wkwkkwkw
joy,hay kamoeeee iya kamo yg batcaa cuma nyapa dowang guw huahaha
netral,cewek abi makeup an bersihin pake pembersih muka atau langsung cuci muka pake sabun muka
sad,pengen punya pacar kaya emili devita
sad,umur baru tapi udah kepikiran nikah tapi belum punya cowok wkwk apaansi gue aneh bgt si wkwkw abi geme bgt kalo liat cowok gendong bayi ehehe
fear,demi apapun gua ini suka ga kebangun sama alarm besok takut kesiangan anjirrrrr
sad,pengen deh punya cowok yang bisa nemenin gue dan terima gue apa adanya heu ngarep dah jele juga w eheh
sad,henlo gui gue barusan aja download ini bisa ngirim foto gak sih disini tuh gue suka meme soalnyaa
joy,tiap gue ngetik kasar atau asal selalu u ingetin terima kasih
sad,setiap lagi ngumpul ama temen pasti bakal gasempetin buat bale chat pacar auto male gitu amp sekarang vibe jomblo gua masih kebawaaa kayanya
anger,apasih bagusnya atta gledekkk
sad,beban idup beratbgt tp pa nyoba buat liat masih bnyk yg hidupnya lebih berat dari aku
sad,woeyi lelaki jangan php dong
sad,barusan burjo langganan bilang sayang sama w coba tru w tolak maap ya ma
netral,si jatinegara yg pengen kawin muncul lagi geng
joy,f hijab gemesin deh chat yuu pengenn
joy,lama gw malu punya bokap kek dia
sad,bosaaan sekaliiiiii hm
netral,gue mau nanya nih sama f sma yg baru lulu tapi pc aja gue f juga kok
sad,asli hari ini marahan mulu ama doi seharian chattan bs diitung jari parah si ini mah
sad,gue ga pent buat dia heheh
sad,gue male bikin cerita haluan jawab sekenanya aja
sad,bu ibu tetangga suka pangl kalo gue udh cantik mo ngampu coba pa gua blm mandi udh kyk macan katanya
joy,bm cium keningnya lenin
sad,sekarang jarang ada yg komen ya
anger,kangen dibucinin kzl bat mantan gue mendadak sadar jir wkwk
joy,main werewolf yu gua mau nyoba m
anger,temen gue ngomelin gue karena gue bilang diri gue gendutan nyokap gue ngomelin gue karena gue gendutan
joy,bismillah mau download hago
sad,pernah ga sih ngerasa hidupnya hampa bgt
sad,untuk kalian yg lagi ngerasa insecur sedih ngerasa sendiri ngerasa jdi seseorang tidak pli buang rasa itu
confused,maaf bukan mksdnya convo killer gua bingung mau bl apa drtd gua udh nyari topik
joy,fr yuk heheh jeketi
netral,ada f yg mau dengerin curhat gua ditelfon m
netral,kira kira yg selebtwit gitu mainan app ginian juga ga sih wkwkwkkw
netral,lagi di titik puncak
sad,pengen ke paralayang tapi temen cewek ga berani gonceng
sad,awal nya tiap gue ngeluh gue gedeg sih lu bukannya nenangin gue tp malah seakan akan bilang lu tuh lebih cape dr nya gue ml ngeluh sm lu eh skrng ga ngeluh lg
sad,masih ragu mau nonton konser duduk atau diri
joy,share kebaikan di bulan ramadhan give away aja ya ya walau gak banyak sih give away kuota indosat youtub hari kuota untuk orang aja ya makasih
netral,idealnya kasih jatah itu berapa kali sih
fear,gue ga siap masuk dunia kerja tapi tahun depan udah haru magang dikerjaan bisa punya temen deket gitu ga suh
netral,fc yok woi ngabisin kuota gue sblm jam wkwk
netral,aya sundanes teu yeuhh
joy,hi guy gue baru hahaha f
sad,lelaahh diriku menangi teruu
love,tresno mbek kwe aku dek ayu
sad,pengen punya pacar kaya amanda manopo
sad,gue pengen naik gunung tapi takut asma kambuh
anger,aku gasuka ya kalo kamu gak chat akuuu
netral,skype call keep anon
joy,baru kali ini kenal anon cew bisa akrab
sad,pengen thai tea jam segini haduh
netral,ada yang gay disini chat coba
joy,ngeliat mantan dipostan orang alhamdulillaaah bersyukur kalo udah putu sama dia tahun sama dia gua ngerasa waktu sama keluarga kurang bgt skrg aku legha
sad,kangen gue tuh riooooo
netral,gue kan punya nah kalo ngampu tuh nyokap suka nyuruh anak ko buat nganterin emg gamau rugi naik ojol tr ada nih dia kerja tp brgkt siang jd suka nganter
anger,my mood so freak gabisa gitu ya ga ngerusak mood orang anjeng
sad,mari chat aku bosen tiap hari sepi mulu yg nemenin
joy,goodby tell see you
joy,mau bagi playlist spotifi kelen dong ehe
netral,ajarin aku fr dongg
joy,pengen kenalan sama sugar dadi yg tampan plu berduitt f here
netral,ada partim gitu gaksih buat anak kuliahan
anger,aku ga suka ya kalo kamu lebih dulu move on
sad,putu aja kali ya dari pada nge batin teru
sad,mak mak masih aja gue nikah abi abang gue nikah agustu nanti dikata nyari laki tinggal nyomot dijalan malahan anak mu ini ga ada niatan buat nikah mak
joy,kemayoran gak ada matinya emang deh hahah
sad,ternyata cape juga maen pubg
sad,liat yg plukan di mtor pa nunggu lampu merah kok kayak iri ya kang ojol
netral,chat ga nih bekasii
joy,ya iyalah late respon yg di chat kan ga cuma lu doang anjir haha
sad,ga seru ih ayo
sad,puse dearr omg kenapa diriku
anger,lucu ya orang abi bilang sayang abi itu hilang kamu maunya apasih
sad,may i give opinion ketika ada org ngerasa sendirian jgn prnh blg ga mgkn sendirian ada org lain masa sih sendirian kdg fisiknya ga sendirian tp jiwanya sendirian
netral,tahun nabung belum kelar
netral,share yuk gimana rasanya diputusin
joy,hero yg selalu ngingetin aku sama kamu kadita
anger,everyon hate me and me hate everyon
confused,kobisa bisa insto campur sprite bikin anu
netral,mau nanya hp gw pake bater tanam tapi kok udah tahun gak panen panen ya
sad,anyon fc im bore now clean mau fc di
sad,temenin gue nuga kuy
joy,pengen deh chat cew hijab gemesin hehe m
sad,kali aja ada yang mau fr
netral,yang namanya overview itu maksudnya gimana sih
joy,pengen punya seseorang yg bs diajak nabung sama sama
sad,kok bokap blm pulang ya takut
sad,udah jam segini dia msh blm inget janjinya gai
sad,bosen ama hidup gue yang aja
joy,fc yukk sayang di skype m here
sad,lagi liat bkp di kamar kayanya cape abi kerja gtu seharian tp uang yg dihasilin brasa kurang nilainya di mata nyokap hayo yg bacanya bersihin pikirannya p
netral,adakah disini yg belum jadi pacar tapi udh samp ke ranjang dan ngelakuin nya sebulan sekali dibilang pacaran tapi ga pernah nyatain perasaan
sad,kalau pa ngomongin masa lalu dengan mantan masih suka nangi apakah itu belum move on atau hanya sedang merasa sedih karena apa yang terjadi
sad,tuga makalah analisi blm kepikiran samsek mau baha apa
sad,w kadang suka iri sm temen w yg dulunya smk dah dah bisa kerja ngasilin duit sndr wk
sad,part of me feel like i should ve just stay friend with you that way i d still be abl to talk to you and not be the stranger we are to each other now
sad,ma ma yg di masjid tadi maen aplikasi ginian ga ya pen tau nama kamu ma wkwk gblg
sad,butuh self love
sad,ini tell sepi amat beda bgt ntah lah ya
sad,mana ada orang yang benar peduli hha
sad,terpayah emang klo chat sama cwok wkwk
fear,sotr sekarang ngeri banget
sad,adek gue ada semuanya cowo ada yg mau gue sumbangin adek ga
joy,disini ada f yg kalo sahur gaada makanan besoknya malah ga puasa ga sih wkwk
joy,siapa tau nemu jodoh di tell wkwkwkwk
joy,bobo an yuk f
joy,dia begitu indah begitu indah
disgusted,ini anon gua yang sok kaya atau beneran kaya dah anjir nyebutnya yang mahal mele
anger,my boyfriend teas me darn it
netral,disini ada perempuan yang udah ga prwn
joy,ngantuk nih tidur yuk
netral,tinder nya dpt match cowoknya tinggi suka tp masa gue chat duluan sih
sad,temen chat anon q sudah hilang semuaa hufft bete juga jadi sepi lagi ini hape
joy,wawww likenya bentuk ketupat ya baba sangat kreatipp
joy,me aku haru tidur sekarang my brain rn majulah ke depan got it janganlah berhenti got it tujuan tempat matahari terbit ayo langkah di jalan harapan
sad,kalo lagi dapet bawaannya pengen nangi teru kenapa ya padah gatau nangisin apaan
anger,bsk ua bgo bljr engga hp trozzzz
sad,hari ini kita harusnya anniv ke loh hehe km udh bahagia sama calon istri km ya aku masih gini gini aja kaya orang be go nungguin km pdhl tau klo kamu gaakan balik lagi
joy,makeout clip is a great moodboost for me
disgusted,apa cuma gue doang yang agak risih dengan ig yg isinya muka si empunya akun dengan yg aesthet
sad,ada ga sih kalian yang mau men tapi badannya kaya pana dingin gitu gaenak bener
fear,tadi mata gw kemasukan binatang teru binatangnya ilang di dalem mata skrg kelopak mata gw yg bawah bengkak dan jadi merah kira kira haru diapain ya
sad,guy caranya bisa nabung gimana ya even ini puasa aku tetep aja gabisa nabung m
joy,anjir kebanyakan chat samp ga tau baha apa saja anon disini buat candu juga
love,cinta itu mudah yang rumit itu
joy,cewek yang pa gua mainin rambutnya diem aja pa gua rangkul hayuk aja pa gua modusin dibal modu balik tapi kalo ketemu sekarang ini dia biasa aja menurut lu dia
netral,baba udah ganteng belum http
disgusted,lu minta gua kejar sorri sendal gua swallow gampang putu
sad,sere bgt ngerasa ga berguna selalu aja salah bahkan suka nyiksa diri sendiri kenapasih diri ini kebangetan bangsatt
netral,ada yg pinter ekonomi ndak bedanya pbb pusat sama daerah apan yak
joy,tbtb sang buat f yg ngerti m
sad,buat kamu yg ultah besok hbd yakk good luck buat semuanya maapkan aku yaahh kali aja denger syukur ga denger jg gpp
fear,mau ngeliatin video cover pake gitar tapi takut dihina f
netral,buat yang cowo kalian suka ga kalo cew kalian cemburuan
netral,saran parfum awet yang wanginya yang seger gitu dong kalo bisa under
sad,skrng lagi rawanrawannya begal ya
joy,drop ur phone type
anger,aelah anak tel anak tel baru kenal satu jam udh ngebet astaga
joy,kalo lagi bake gini fantasinya kemana mana m lagi manggang roti
joy,dah lama g denger sampai jadi debu ini intronya bisa ditunggu sambil nyetrika nyuci ngepel ama cuci pire kan yak
netral,ada f yg mau dinyanyiin di videocal m
confused,nanya duariu gaiss emg di dunia nyata banyak gasi org yg punya alter gt pribadinya ganda
sad,cuman butuh temen begadang gak butuh orang yg cuman tanya asal habi tu pergi gue f
confused,ga ngerti knp sampai skrg gue sukanya ldr
netral,gimana ya kabar partner gw yg skrg lagi pertukeran pelajar di inggri kan secara gt ya disana puasanya lamaaaa bgt doi batal teru lagi wkwk
netral,tik tok tik tok
joy,gue bingung sih kadang sm post yg blg cowok tell gaada yg seru meanwhil anon gue seru semua tr typingnya ganteng huhu
sad,kebanyakan baca manga nonton or call karakt fiksi bikin gua rada not too interest with boy in real life how to chang thi habbit
joy,gue berharap bisa dapet temen jalan disini selain dari whisper sma hago hahaha f
sad,gak mau remedi tapi male belajar aku
netral,kalian udh putu atau belom sih ga nuli nama di statu kalian lg tapi sere pakek hati
joy,mau mie gacoan udang keju udang rambutan
sad,i not afraid to fall in love again i want to but i afraid that when we final love each other we ca be togeth in the end
netral,pernah ada yg cover lagu rumpang tapi nadanya kek diubah gitu sama anon sini kek ngomong tapi bernada itu apasih keywordnya
love,ini salah deh keknya gua sayang sama lo
netral,ciri ciri line kita diblock apa ya
anger,untuk pria sesulit apapun wanita untuk dimengerti satu hal yang pasti mereka sama sekali tak layak untuk
sad,mau curhat dongg ada yg mau dengerin ga
sad,kalian pernah ga sih pengen chat tp sekali ada yg ngechat langsung kek male gitu
sad,pada umur tahun ini aku semakin bingung mengenai orientasi seksualku yang sebenarnya and it make me depress m
joy,aku tidak terlalu pandai membahagiakan tapi kalau itu tentang kamu dengan cara apapun aku ingin kamu selalu bahagia
disgusted,kalian team suka atau malah gasuka liat gitu
fear,gue sama doi satu dospem jeni penelitiannya sama tapi ga berani nanya anjir pdhl emang lg butuh
anger,mau mledagg puse sama tugaaasss
netral,nandemonai
anger,ini kenapa tiap gue typo teru spasi kaya auto correct gitu sii
netral,here ada yg mau ditanyakan
netral,eh ada ibu ibu
joy,semoga nnt gue punya suami yg jago masak hahaha
sad,ekspektasi kalo lagi badmood gini ma pacar bakal seneng lagi realita biasa aja dia ah resiko punya pacar cuek
sad,butuh teman wanita yang ngerti dan peka tanpa haru di kasih tau di saat lagi ke pengen untuk menemani m here
joy,knp kalo abi mandi kamar mandinya langsung auto harum serasa yg mandi bukan dia doang tp kamar mandinya jg ade sm abang gue gini langsung wangi bgtt setoilet
joy,ngakak tonight show vincent mau dipeluk olla ramlan malah kabur wkwk
netral,ada yang bintang nya leo shio ny macan disini
netral,jadi gimana nih lucinta luna apa lucinta gua
joy,rain rain would you listen to my stori today i greet my friend with a big smile no one notic but i fine with that
netral,hi there how are you
netral,coba kasih kalimat ambigu
joy,tapi sampai jadi debu tu liriknya aaaaaaaaaaaaaaah banget dah woy
sad,semenjak kena tipe perut w sensitif bgt gb makan pede pasti setelahnya auto melilit samp gak tidur semaleman itu knp ya
confused,eh cowo mau tanya dong tentang kaum kalian sumpah ini bikin puse
joy,tadi di duta injil amba masa ada yg ganteng gondrong tp lucu kan aku kepo siapa namanya
joy,yaaampun cowo gue bikin stori ss ig mantan yg ada foto diaa di feed nyaa wkwkwk gitu amaat pengen gue cemburuin gitu amat pengen gue komen stori nyaa wkwk
sad,aku yang kaya buntelan kentut ini berharap punya cowo kaya rangga salahkah
netral,float sementara di spotifi cuma ada yg live ya
sad,kalian pernah ga sih habi dimarahin ditegur orang selain keluarga tru habi itu mood jd ancur male ngomong misal ditegur dosen atau dimarahin ditempat kerja
netral,ada yang pake googl keyboard ngga disini nanya dong
confused,gmn sih cara ngenalin typingan org kok tau aja sih itu si a b c dari type doang
anger,kok makin sini jadi makin kesel ya sama beberapa cowok yg kenal di tell jadi kayak bikin male
fear,kmrn kan gue di kamar ya sendirian teru gue tutup pintu kamar gt tr pa gue lg stream masa tbtb kayak ada yg nyemprot air gt anjir pdhl gue lg sndran di
sad,harusnya kita udah move loh tapi karena aku ga punya hago dan instagram tr kamu gamau instal line kita ga jadi move
netral,ketika bicara juga sesulit diam utarakan
sad,aku benci diriku tapi aku tidak ingin menyerah aku ingin memperbaiki diriku dari hal hal yang aku benci tapi gimana
sad,yahh km bilang km udah putu tapi ternyata km masih nginget dia bikin stori buat dia buang fikiran kita bakal jadian ya mend kita berteman aja
netral,princess jasmin menggambarkan klo cantik itu ga haru putih jd tidak usah minder klo kulit nya hitam speak with me
confused,bener ga sih klo cowo lagi ngejauh atau beda responnya ga kaya dulu lg perlu kasih space buat dia
netral,ada yang prnh move sm yg namanya ibnu
netral,lagu yang kalian suka apa
netral,dukung siapa di ti me team secret og hehe
joy,assalamualikum ukhti cantikkkk
sad,gue pengen dong meet sm anon tell yg nax bae bae dan ga berekspektasi sm gue
joy,suddenli want c u d d l e
sad,hp gue bermasalah ni gue bisa dengar suara orang kalau vn vc fc tapi orang ga bisa denger suara gue ada yg tau kenapa dan gimana ngatasinnya nggak
sad,i miss the chanc to talk with you tonight
joy,om om brewokan suka nana
sad,masyaallah kenapa gue lebih klop chattan sama yg umur keata sih
netral,cowo kalo pake parfum wanginya awet bgt w curiga dia pake parfum organ dalemnya jg ikut disemprot
joy,next evolut of the human race would be much stronger buffier pinki and sleeker thumb to support their phone one handedli and swipe through tinder and ui better
sad,maaf ma keahlianku cuma bisa selonjoran di toilet jongkok
sad,nggak ada yang salah dengan balikan asal dia mau kamu juga mau yaudah tapi nanti jika akhirnya berakhir seperti yang sudah pernah terjadi sebelumnya kalian
joy,chat yuu pengen dehh gituu m
netral,fc here karakt
sad,gue male gini rasanya pengen bikun sesuatu yg bikin dia ilfeel tr dia pergi
netral,pecel lele yg enak di bandung di mana lur
sad,yukk gabut niihh
sad,persen orang tell lagi gabut
sad,kok disini udh jarang ya cuma
joy,kebahagiaan gue sekarang adalah info pengumpulan tuga diundur seminggu
love,waktu gue mau lahiran kaka gue yg nganterin ke rumah sakit nungguin gue semaleman ngeadzanin anak gue padah waktu itu dia masih kuliah semest i u so much kaa
sad,gabut
sad,you tri so hard i out
netral,mau di nyanyiin di fc
joy,pick kalean di pd x siapa gua si wooseok hyung jun hyun bin sama yuri
sad,is it okay to be cruel and leav someon for the sake of your happi i guess it is not okay
netral,http join yang mao main ww onlen
joy,yuk fc sayang m nih di line atau skype
sad,didapur duduk diem dimeja makan jam segini tr sendirian hadeuu f
anger,nyuruh login tp malah maen squad sma org laen kl gtu ngpain nyuruh login si ajg pke aja nyepam sgla di line
disgusted,masuk best mah gampang bikin aja cerita ngasal tapi yg indah atau ngadain giveaway
love,sekarang cinta bukanlah sahabat
sad,kalo lagi sepi sepi banget kalo rame ya rame banget hp ku
sad,dia bilang ke gue belom berarti ada keinginan buat ya knp gk jawab gk akan knp hr kata belom
anger,ksl dh sm org sotr kampung gt
disgusted,agak gimana gituu
joy,manusia nokturn mana suaranya
joy,lagu yg sere bikin gua mupeng sampai jadi debu ikat aku di tulang belikatmu wait a minut
netral,ada yang ingin cerita tentang privasi masa kelam nya hehe m here chat ae
sad,pengen sekali sekali tidur cepet tapi sulitnya ampun ampun
netral,ada f yang mau chat di line baru instal lgi ni setelah sekian lama
anger,gue kesel bgt sama orang yg pa lg chat ngilang tp dilain waktu gue ngerasa ya itu hak dia juga we stranger tp makin kesini kok anda makin ngelunjak
sad,gk ada yg mau fc apa gitu segabut ini kah gw dari td open tell close tell open ig close ig hadeeh
joy,tadi siapa yg sholat teraweh cung bala stori ini melalui dm beba bala stori dengan kalimat cnth hai aku tadi aku sholat teraweh dengan ikhla aku
anger,kapan pendadaran kapan sidang kapan lulu kapan kapan kapan iki lagi revisi cuk rasah brisik
netral,fr yuk hijab boleh lah m berkumi tipi
joy,to be honest obrolan yg bakal awet tuh yg sometim baha tp skrg udh biasa aja bagi gue ahaha
netral,ada kampung baru ada kampung bali we the same bruh
joy,godain aku dong mba p haha
sad,lagu patah hati hati
sad,i am sorri that i leav you on read i dont know what to repli and i dont want us to end up hate each other
joy,film drama korea yg keren femal hostel
love,i loveee u fourtwnti
joy,yang dibogor nonton john wick yuk f
joy,hobi motoran sm gangguin nyokap kalo lg pm gaji masih umr gatau tahun depan
netral,ada yg pake produknya jarkeen ga sih yg pnyanya septrina itu yg bene orgnya
joy,percayalah hatiiiiii lebih dari iniiii
fear,seremnya penyakit kelamin
joy,wkwkwk asik banget guy liat keringet abi olahraga
netral,gamaliel sound more aladdin than zayn wait zayn who
sad,me kan lu witaaa him oiya lupa me apasi yg lu inget him elu bukannya baper malah geli
sad,begitu saja begitu sajaa lupakan dirimu saranghee
joy,maoo ceritaaa jadi waktu itu aku masi kela hari itu kita pulang agak sore soalnya ada eksul aku selalu pulang naik bu bareng temen hari itu cuma berdua
joy,hey peep charact
netral,fungsi bookmark apaaaa
sad,mau curhatt guyss
sad,but you are still a preciou person for me although i feel exhaust as time pass by
sad,ada yang lain sebenarnya hanya saja dia bingung dia tidak ingin kehilangan kamu tidak mau kamu pergi darinya namun dia juga tidak bisa melepaskan orang lain
anger,gw goblo jg kalo gue mikir knp dia kayak gitu e ternyata emg orgnya kyk gitu bukan nganggep lebih wkwk yg dianggep lebih malah org lain gue emg baperan
sad,niat tidur jam samp skrg blm tidur dasar
joy,siapa yg suka histeri kl nntn drakor suka geme liat pemainnya aduh
joy,ujan gede d keroncong
netral,omg aku baru tau ternyata rosul nikahin siti aisyah pa usia tahun dan disetubuhi saat tahun
sad,besok aku graduat di sekolah malem ini aku gaboleh nangisin dia ntar matanya sembab ntar jelek ga cantik bye bye kamu jgn hadir di otak aku lagi ribet
netral,pinter dah gua vc pen liat mukanya diangkat tuh tapi lampunya dimatiin
love,jona jadian sama aku yuk aku tau anna pinter dan awar sama isu global tapi aku suka kamu pake bgt mau ga pli nanti aku ajarin caranya salti
joy,sarangha luke hehehe
netral,ada yang temenin nonton john wick
netral,kalo tuhan segala sifatnya adalah tentang sesuatu yang baik kenapa dia menciptakan keburukan
netral,ni lakik pen gw nyanyiin boy with luv ver cew klo sebenarnya gw penasaran ttg dia
joy,mend dr skrng gue sadar diri aja kalo ga semua org nganggep gue istimewa kec diri gue sendiri
anger,sial nyesel gua klik driver yang tadi cew mau liatin vidio cover suara sama mukanya ngedukung
joy,aktri korea favorit lee chae dam
joy,tuh baba aja pake sarung sm peci sekarang tambah unyuu dear m km kapan sprti baba
sad,slalu sedih di malam hari ntah apa yang kupikirkan
sad,rangga php
sad,agak bersyukur sebenarnya dengan cara allah seperti ini kejadian kaya gini aja gue udah puse gimana kalo beneran jadi mungkin runyam kayaknya
netral,jam segini belum tidur dan hari ini dapet jadwal bangunin sahur kost
netral,tanyakan apapun pada saya perempuan
joy,yang mau umptkin di uin jakarta bisa pc nanti gue jadi tour get wkwkwk
sad,udah pake skincar malah nangi dasar
sad,diadakan halal bihal untuk sluruh tellizen yg idupnya gabut n buka app tell khusu untuk daerah jakarta
sad,bu dokter cuek
sad,ngantuk tp gk bisa tidur ih
netral,ada kah cew yang suka sama cowo inteovert
sad,ketika hatiku kau hancurkan perlahan hingga pada akhirnya aku kau tinggalkan kau tau aku sangat terpuruk namun kutatap kedua bola mata orang tuaku ada harapan
sad,balesnya disengaja bgt ya menit
netral,gimana biar bisa chat awet sama anon
sad,baru kali ini baper sm anon samp dia tau punya pacar aja rasanya suckit
netral,poin antutu di hp lo berapa geng
netral,yang umptkin di uin jakarta bisa chat nanti gue anterin cari ruangan
joy,fc disini huehuehuehu
sad,apa tandanya kalo mantan itu ngacangin kita kayak masih blm ikhla gitu gasih mau moveon gagal soalnya pasti kalo udh gaada perasaan pasti gabak asa perasaan
sad,keluar dari dunia peranonan emg susa
anger,i hate him so d a m n much
sad,gue lebih milih lo selingkuh sama cew dan bukan sama cowo m
joy,dicari ma ma yg uda sere diomelin mamanya buat bawa calon wkakak
anger,rasanya kuingin misuh misuh kzl gue woyi
sad,dalam memintamu untuk bertahan aku sama saja seperti sedang mencoba mengubah rasa asin air di laut percuma karena kamu akan tetap pergi juga
sad,namanya juga dunia anon kalau dia udah nemu yg baru dan lebih asik ya siap ga siap haru siap ditingg wkwk
netral,tanya beba clean aja aku jwb fast respon blm full
sad,yang ada free ongkir shope mau kekk tp gada bata min order
sad,ga seru ah di sini ga ada yg bisa diajak deep talk
sad,pengen deh ngerasain punya fake boyfriend kayak di film to all the boy i love befor tapi masalahnya mustahil punya fake handsom boyfriend
sad,luntur udah skincar gue sama airmata
sad,udah mau skripsi aja masa muda lempeng gini
netral,http dan
joy,pada ngomongin sampai jadi jadi inget waktu itu dikasih tau sama anon dari sini suruh dengerin buat lagu tidur dann emang nyaman banget buat sblm tdr
sad,ini anak indi baru brojol ya anget amat yailah mau salti bulan puasa
sad,udah seneng dapet tellizen yg sesuai kriteria eh baru mau ngajak move dianya udah ngilang duluan blm jodoh mungkin
sad,buat mba mba rambut pendek dan keibuan yang itu alafyu
joy,if u need me im here
sad,pengen tidur tapi ga ngantuk
sad,ya gimana ya gua kalo udh baper suka jadi gaasik lagi makanya jgn bikin baper
joy,gua mau balik lagi bucin tokoh fiksi
anger,nyesel gue beli eneg bgt skrg ngerokok nih gue ksh baru bakar batang dunhil ultra mau gak
joy,skypecal kuy girl gabut krn insom beba deh mau curhat apa aja dan mau ngobrol apa aja terserah samp sahur pun jg gpp wole deep voic
sad,ada ga si yg pengen bgt tdr cepet tpi gabisa tru pa dibangunin suka nyesel gt kyk anjir masi ngantuk knp ga tidur cpt sih semalem
sad,are you here t i dont think i am a good influenc for you after all the thing we been through i sincer wish for your happi but seem like i cant give you that
sad,saya yg sedang mengalami masa dimana pada banyak tanya kapan sidang kapan pendadaran kapan lulu saya tekanan loh ini sampai gemuk banget
fear,mau nuga jam lebaran selesai gak ya soalnya kata temen gue banyak banget materinya
sad,nggak seru ah kalau ditanya hal random jawabannya tuh yaudah gabisa dilanjut lagi convonya
joy,gilak udh lama banget ga buka tell skuy lah yang mau chat gw otw mahasiswi
netral,mau tanya misal ada group line udah ga aktif gue mau leav group apa akan ada notif ke member lain
anger,ya gimana emangnya salah banget apa ngecov suatu lagu suaranya enak tapi mukanya ga mendukung ya itu kenapa kenapa kenapa oh mengapa
netral,gaskeunn http
sad,nemu tellizen cakep eh ga asik nemu tellizen asik eh ga cakep tuhan memang maha adil
joy,ayo mana suaranya anak kampu di depok ui gundar up bsi dimanapun kau berada munculah
joy,kalo pensi gue ngundang slank bakal pecah banget sih semoga aja bisaaaa
sad,i alway wan na die sometim
anger,bodoamat bodoamat bodoamat kaga salah dia
sad,jadi cowo kasian dia gada salah tp gua sensi bawaannya sm dia doang tr dianya sabar bgt coba ga ngerti lg
joy,tiap malem ada aja yg nyanyiin gue lewat tl tell wkwkwk thankyou stranger
fear,tadi ketemu jauh gue soalnya ttp aja kaya orang ase tapi kalo sm sepupu deket ya
netral,temen gue dulu gak bisa pake toilet jongkok jadi pa dia kebelet banget pup dia sabunin toiletnya dan duduk di toilet jongkok
netral,kenapa anak kedua beda dr sodara yg lain
sad,gue perna move sama cew sini buat fc gue kira dia talk dan seru gitu dan gataunya bosenin dan suaranya kaya ngedesah mulu
netral,jne tutup jam berapa jawab
joy,main yok apaan aja deh
sad,ketika lelah dgn pekerjaan rasanya pengen nikah aja piknik juga si
joy,m cari f w yg suka pelukan pc
sad,kalo ga inget besok mau reme udah gua hapu wa tuh
sad,pengen dong dinyanyiin lagu yang bikin baper
netral,ngasi tau aja kalo kalian belum belom legal age kalo berani teru cowonya brengsek kalo kalian masih minor ya laporin polisi aja
confused,mengapa aku begini
netral,http mau cerita aja sih
anger,jangan kau pertanyakan
netral,tahun depan umur udah hidup kalo umur gw nyamp tahun quarter life crisi
netral,fc aja siapa tau jodoh
netral,seandaikan dunia fiksi itu ada yg nyata di realita kehidupanmu mau yg bagaimana jwb d komen pli
anger,kesel bgt liat nmax u bawa motor pa bawa speedboat hah
netral,drop your id line i add you f
sad,gampang sekali ilfeel sama cowo aku ini
joy,m pengen ngobrol sama f yang suka pelukan
confused,guy tadi tutup sunlight gue loncat samp ke wajan yg isinya minyak goreng gatau wajan punya siapa jadi intinya gue mo nanya sunlight ga bikin keracunan kan
sad,kalo cowo mutusin kita dengan alasan pnya cew baru pdhl dia tuh boong dan dia blg ngelakuin itu biar kita ngejauh dan biar kita gasakit hati lg sm dia gmn mnrt kalian
joy,chanbaek is real
anger,ini kenapa ada lagu slank ku tak bisa woy tran tv sengaja apa gimana nih
sad,t i dont care whether you will see thi post or not but sometim i am tire of my day i am sorri for nag and be clingi i truli realiz i shouldnt do it sorri
fear,pengen putusin pacar tapi takut galau ah sue f
sad,kadang aku berpikir kita ini sedang mempertahankan hubungan atau sedang menunda perpisahan sih
joy,m kebelet kawin bukan nikah wkwkw
netral,ada f chines disini m jaktim
joy,bikin grup line anak anak tell seru kali ya wkwkw
sad,eh gue gabut woi besok ujian tp male belajar
joy,sumpah gue baca wattpad wanita yang menutup aurat auto shock sevulgar itu dong anjrit wkwkwkw
netral,app buat edit video nyanyi dimana yakk
sad,baca stori tadinya mau langsung ke pc tapi pa tau itu dipriv batal deh hahahahaha
disgusted,baru kenal telponan dia bilang sini aku peluk jangan dilanjutin cikal bakal ponsek itu tuh
netral,disini ada yang main ome tv mau tanya dong
netral,rasanya tangan udah lama nih gak piknik hehe m bekasi here
joy,w gasabar idul pitri tr tar halalbihalalan ama w yg gantenk uhuy
anger,tabok dengan sejuta kerinduan apasih gare bgst
netral,ada f yg mau dinyanyiin di videocal m
sad,kan gabut mulu dasar aku
sad,gw ngerti knp org bisa suicid sayat sayat tangan atau apapun yg berusaha nyakitin diri buat ngalihin kesedihan tp gw ga samp ngelakuin itu ada gk sih yg kyk gini
sad,adakah anak undip disinii pada balik ga lebaran
joy,i like that word slebew sound like convey our vernacular
sad,m kuy
sad,pengen banget puasa ini pendadaran biar pa lebaran kalau ditanya tinggal wisuda kok
joy,i love deep talk i love to hear all your stori about everyth i love you
