polarity;text
sad;"""Sedang menjauh dari tuhan, karena rasanya selama hidup gua ga pernah bener bener bahagia :) porsi bahagia gua mana ya"""
joy;FINALE FINALE FINALE FINALE
joy;Pelukan yuk. Siapa tau nyaman..
sad;Knp org depresi itu kalo udh sedih bgt nyalahin diri sendiri mulu trs itu agak susah kalo dinasehatin. Baiknya digimanain ya?
joy;enaknya ngapain dah? ayo seru2an f
love;Semakin ku mencoba untuk perlahan pergi semakin besar rasa itu muncul
sad;"""cukup sudah, kau sakiti aku lagi. serpihan hati ini akan kubawa mati"""
sad;Bekas operasi di slangkangan gue sakit banget :')
joy;GUYSSS ADA YG UDAH NONTON GOT SEASON 8 EPISODE 6?
sad;Ku harus belasan apa lagi ketika nyokap selalu nanya ke anehan pacar gw. Huhu
anger;Kalo masih suka mah telpon aja atuh. Mantan yg ganteng gausah gengsi.
anger;Jangan marah kalau teman berjanji datang habis magrib tapi taunya datang jam stgh 8. Karena sesungguhnya habis magrib adalah isya
netral;"""temenin gue begadang nugas dong, f"""
sad;"""Di ksh pilihan trus disuruh milih itu gak segampang yg dikira, asli kzl bgt dah dibuat galau krn hal sepele gini, andai gue bisa nyetir pasti gak bakal galau gini"""
joy;i really hate to hear my own voice but rn i start to love it HAHAHHA RANDOM BGT ANJ
netral;adaaa sajaadah panjang
sad;"""Makin mepet libur lebaran makin pusing sn tugas, laporan dan kp hufff"""
joy;Main truth or dare yuksss
sad;"""Halo gue m21 anak teknik insyaAllah tahun depan sarjana, disini adakah cewe yg jomblo? Ramah? Pengertian? Chat dipesan ya, yg deket aja jkt sekitar (masih blm nemu"""
joy;Gabut? Mending chat sm aku hehe. F
netral;Samsung atau vivo?????
netral;Mesti emang kalo kenalan cewe di kampus pake organisasi atau ukm gitu ? Terlalu mainstream menurut gua yang ga suka ikut gitu2 an
netral;"""Hi, f25 here.........."""
joy;Temen rasa pacar ena dong m here
netral;"""Enaknya gimana f, hayu yu?"""
sad;"""Sakit banget yaampun perut gue pms pertama:"""""""
joy;"""Gua baca baca tl tell aja ngakak yaallah :"""""""
netral;Selamat malam dari Wawan di Cilebut ingin bertanya vokalis nya tulus siapa ya?
joy;"""ketiduran 18 menit dan mimpi makan sapo tahu ayam nya solaria, yaAllah pengen"""
joy;Kenapa better enak banget si):
joy;ada yg sekolah di jaksel? chatan yuk. m
sad;tolonggggg ajari aku untuk bodo amat-aaaaan
sad;"""Atur nafas, besok senin"""
sad;Tolong dong ajarin biar ga cengeng??
sad;"""Niat mau cari baju buat mamah,tp berakhir pada gue yg beli maju gila gilaan. Astagfirullah aku"""
sad;Gw sedih bgt e36 gw dijual gr gr gw udh mau berkeluarga jd harus dijual dan memilih mobil keluarga. Sumpah sedih bgt . Cowok cowok yang baru nikah apa kalian sesedih ini :(
joy;Yuk fc yuk Ayuk lha. Mau yaa M here
anger;Apaansi embun bngst kerjaannya ngalangin marcel mulu ***
netral;Emg kliatan yaa bibir yg sering kis sing sama yang jarang?
sad;Babaa hayu balikin lagi ah ke nearby :(
netral;"""YANG IKON PAHA AYAM, DROP ID LINE DI KOMEN"""
netral;"""aku move sm anon dari bulan feb, tapi sampe sekarang aku blm tau muka dia gmn. sengaja aku vc pen liat mukanya pasti gadiangkat, abis itu dia ngefc balik, ya aku reject."""
joy;Tim makan bubur ga diaduk mari kita berkumpul!
anger;"""Berat sama di pikul, ringan sama di jinjing. Bentar lagi gue pukul lo anjingg"""
anger;"""Wah sakit pms kali ini parah bgt kayanya, dr pagi sampe malem ngga ada jeda sakitnya ya gustiiii """
joy;semangat om uasnya!!????
sad;Mulai libur lebaran kapansi
joy;PENGABDI mi inSTAN ehee
joy;Masih banyak f yg suka self service? - m
sad;"""eh kan gua ikut sopi yang serba 10rb ya terus ga menang kann, katanya kalo ga menang duitnya bakal dibalikin lewat shopeepay tapi kok sampe sekarang belom dibalikin yaa"""
netral;"""Minggu depan nikah, ga ada f yang mau nemenin lepas lajang nih. M here"""
joy;Chat yuu pengen deh f hijab gemesin M
netral;self service tu gimana si?
netral;Mobel lejen yuk sambil discordan? Siapa tau nyaman. M
netral;Stranger rasa pacar? M22
anger;"""YANG KATANYA CARI TEMAN SERU ASIK NYAMBUNG DAN UDAH GUA CHAT PANJANG NYAMBUNG, TERUS MALAH SEKARANG CARI MANGSA BARU. ITU ORANGNYA SEKEREN APA SIH?"""
love;Langit dan laut saling membantu mencipta awan hujan pun turun ketika dunia saling membantu lihat cinta mana yang tak jadi satu
sad;"""Kok pada ngeraguin gua sih wkwk segitu takutnya kalian, sampe ngajak move buat buktiin gua cowo atau cewe hadeuh ??"""
sad;Apa tmen2 gue tau ga ya sbenrnya gua itu anti social
netral;Bantuin cari topik telfonan dongg
netral;Tellijen mau nanyaa dong menurut kalian jelek tpi ga jelek bgt kyk sule tpi kayaa msih muda udh lumayan sukses atau lumayan tpi lagi usaha gtu lah untuk masa depan? Jawab
netral;"""Guys, menurut kalian, keterlaluan ngga sih penangkapan orang orang yg ditangkap atas tuduhan makar? Apa emang itu udah sepantasnya? Coba pandangannya dong"""
netral;"""Setelah gue nonton video raditya dika, dimana radit bilang kalo cewe suka memelihara fans nya, gue jadi mikir kalo """"melihara fans"""" itu salah. Lalu gue..."""
sad;bingung kalo ditanya cara mutihin kulit gmn:(
sad;"""Gausahlah cari perhatian sama dia, toh dia gabakal merhatiin lo ko. Santai aja haha. M18 """
love;Ayaflu bambangg ay misu
netral;Recommend game offline di android dong. Thank you
netral;"""Lagi Dmasiv yg liriknya bukan aku yg mencarimu, bukan kamu yg mencari aku, itu judulnya apaansi penasaran bgt ini gue gabisa tidoooor"""
joy;Semangat adik adik yang besok UAS
sad;"""Ada cewe mau chat di wa ?,ya biar hp gua ga sepi2 amat lah sekaligus nambah teman gua """
joy;Cari temen chatt.. f 25 Wkwkwk
sad;kau hancurkan aku dengan sikapmu. tak sadarkah kau telah menyakitiku. lelah hati ini meyakinkanmu. cinta ini membunuhku
netral;"""rp kaka adek seru deh keknya,terserah deh mo gimana f18"""
sad;"""Please, tell me everything will be ok??"""
love;Bercinta onlen. Wkwk.. Keep anon
joy;Gua pengen tinggal di tempat yang bentar lagi ga jadi ibukota lagiiiii
netral;pen langsung punya anak bayi aja
anger;Badan gue serasa remuk!
sad;"""Dear me,if it hurt you,you have to stop. Leave him and forget him."""
anger;Kurang kurangin toxic dong warga malu maluin hadeh
sad;temenin nugas gitu kek:( -f19
anger;Buat mas yang tadi post minggu depan mau nikah trus nanya buat nemein lepas lajang 1 pesanku : NAJISS
joy;SILAHKAN KEPOIN AKU WAHAI TEMEN SMA NYA MANTAN KU
joy;Gue suka fc sama cowo yg sebelum ngomong ketawa2 dulu
netral;"""what do you thing about """"body shamming""""?"""
joy;Jujur w lebi suka dengerin orang curhat drpd w yang curhat hahahaha
netral;"""Fc skype or line, anyone? M24 here"""
netral;Ada org tasik dan sekitarnya ga?
joy;"""I'm listening to """" Crazy World (Live from Dublin)-The Script, Christy Dignam """". Let's enjoy music on JOOX! https://joox.page.link/x2M8S (#JOOX)"""
sad;udh di anon masih aja ketemu temennya temen:( dunia sempit y
netral;"""COBA CONTOHKAN SEBUAH KALIMAT UNIK, PAS LO AWAL NGECHAT SEORANG ANON DI TELL"""
netral;Username spotify gue kok ngajak huruf sama angka panjang gini sih? Spotify gue doang apa tempat kalian juga?
joy;w nemu temen tell asik bgt. tp blum move move
joy;Pengen banget punya rumah panti asuhan
netral;Eh edo sargib ngapa sih?
netral;"""YANG IKON ALPUKAT, DROP ID LINE DI KOMEN"""
sad;"""Gue lg deket sm kating, trs circle gue nyuru gue minta file2 tugas dia taun lalu, kalo kek gitu keliatan bgt manfaatinnya ga si? Gue jg gaberani si mintanya, gaenak gt :("""
love;"""Jujur aku kangen banget sama kamu dek, aku merasa kehilangan. Aku terlanjur sayang dan mencintai kamu. Tapi aku juga sadar diri karena aku gak sebanding dengan kamu. M"""
netral;"""Gue mau nanya sm lu pada yg pke foto profil sm doi, alasan nya apa sih?"""
sad;"""Selamat malam orang lemah, yang kalo buka bumbu Ind*mie pake gunting"""
joy;And thx tell makasi ya udh nemenin hari2 gue
sad;Memohon tuk tetap tinggal. Dan jangan kau pergi lagi.~M21jksel
netral;Ada yang biseks gak? Mau nanya-nanya
fear;takut mati karena terlalu doki-doki suru
netral;Sebut 3angka terakhir nomer telfon kalian coba. Yg sama bisa jadi emang ditakdirkan ketemu disini
confused;Anon 1: aku 160/79. Kamu masih mau sama aku? || anon 2: itu tensi? Kamu tensi tinggi? || anon 1: itu tinggi dan berat aku || anon 2: aku bukan dokter. Coba konsul ke dokter
sad;"""Gabut parah, ada F yg mau VC clean ? """
joy;Tertawa bersama sampai berbagi separuh kisahku padamu belum bisa membuat dirimu percaya tentang diriku
joy;Main tell dulu gua bakal rindu ni apps wkwkw
joy;"""gue doain siapapun yang mencet tombol ketupat di postingan ini, lebarannya bisa makan banyak ketupat dan dapet thr 100juta, aminnn"""
joy;Its okay. Just focus on your happiness :D don't mind me.
joy;bm nikah sama janda anak satu. m21
love;Why do we falling in love so ez
sad;"""Mimpinya random woey, segala dilabrak sama istri partner. Apa partnerque udh punya istri yah? Tapi katanya sih lajang ??"""
netral;"""Emang kalo cewe goodlook udh merasa nyaman atau baper sama stranger, fisik udh bukan jadi masalah lagi? Just ask, m here."""
joy;I'll take what halsey had in her new video
sad;Bu ibu facebook jual b h pun live -_-
anger;Kadang bersikap buat ga peduli itu perlu!!!
netral;bagusan ready player one atau alita battle angel?
sad;"""Mas/koko N, aku kangen pgn ndusel :') """
joy;F17 gabut clean chat yuk kakak kakak
sad;Pengen males malesan tapi males:(
love;"""Sayang tidur, jangan begadang terus ya. Iya sayang dah"""
sad;"""Bukan kamu yang rumit, tapi kita. Aku yang tidak bisa membuka gerbangnya dan kamu tidak memberitahu caranya."""
sad;"""Bwang kok aku di ec, salah apa aku bwang? Bwang sad ya dasar wkwk"""
joy;Kenapa gua baru tau mamang kesbor sekarang? Gokil tu orang ??
joy;Icon salak gua jadiin ttman dah 1 jam aja kalo ga satu gender wkwk
anger;"""'iya aku yang salah' 'maaf ya aku bikin kecewa kamu' 'maaf ya aku jarang ngabarin mulu' Halah berakk, ntarannya diulangin lagi untung dah kebal"""
netral;"""Si tmn ngajaknya naik pesawat. Bilang lah sama ibu, gak enak sebenernya. Dikasih lah sejumlah uang buat pp. Yg pesen tiket si tmn, jadi uang ku kembalikan sejumlah harg"""
sad;"""Gila temen gue mau lulus tambah menjadi jadi ngerokok lah minum lah buset dah, dulu ga gitu perasaan """
sad;chat dong. sepi bgt hidup gue etapi agak ngantuk. mwehehe f
netral;Aplikasi yang ngubah muka jadi kartun itu apa sih? Gw lupa nama nya. Dulu sempet rame yang pake
sad;Cewek gue klo udah ngadat minta ampun deh ngebaikinnya??
joy;pgn dimanja dan dienakin m here
sad;Lama lama chat sama anon bosen juga yah haha
sad;"""The Rain-Upaya Maksimal. Tak sadar, air mata menetes. Saat mendwngarkannya."""
joy;Chat yukk pengen deh gitu m
joy;MANDI MALEM TUH EMANG SEGER BGTT
joy;TADI KAN W NGEVENT DIMANGDU. KETEMU KA ALDOLIM DONKKK. GANTENG BGTTT ALLAHU MANA GASOMBONG??
netral;"""Besok ngampus, ada 2 parfum, pake yg mana? Mango/avocado? Choose your weapon"""
anger;GIMANA CARANYA BIAR GA DOKI-DOKI SURU TERUS GENGS. PUSING NI.
netral;cowo rambutnya bisa kaku ke atas gitu gara-gara pake pomed atau emang dari sananya gitu?
netral;saran dong harus kemana kalau ke pasuruan?
anger;"""Anon 1: *posting* susah beudh dah cr topik || anon 2: ketikan lo aja alay, gimana orang yang chat an ama lu, kelilipan kali matanya || anon 1: biarin aja si. Julid amat"""
sad;"""Maunya pas lebaran glowing, tapi skrg bersihin muka aja males. Dasar aku"""
anger;ah sombong bgt. bai bai bai bai bai
anger;MODUS DASAR COWOK!!!!!
sad;"""Pengen nolak ajakan genk gw bukber di AYCE hotel bintang 4 yg sampe 130k cuma ga enak pdhl gw lagi bokek, gara2 udh ga kerja, lg sibuk skripsi Hade dah bnr di hotel yg 80k aja"""
sad;Puasa bukannya ngurangin berat badan malah makin melar
joy;"""Romadon tiba, romadon tiba, romadon tiba, tiba tiba romadon, tiba tiba romadon"""
love;Ikan hiu nabrak kaca I love u buat yang baca Hehe.
sad;"""selama aku masih bisa bernafas. masih sanggup berjalan. ku kan selalu memujamu. meski ku tak tau lagi. engkau ada dimana. dengarkan aku, kumerindukanmu"""
netral;What happend to kyungsoo?
joy;VC gitaran jangan? M :)) edit: belom dapet daritadi wkakwa
sad;"""Kalo mau dpt pasti aja gini, udah ditahan tahanin padahal takut kebablasan:("""
joy;"""Eh sumpah malu njay aku tuh malu ngajak kmu move;) malu klo kamu bilang """"gamau"""" malu:))"""
sad;Anyone fc? Im bored now!! Clean talk M21jksel
netral;disini ada yang bisa gotong galon pake satu tangan ga
fear;takut naksir aku tu :( duh :(
sad;ANJAY ANJAY W GABUT BANGET ANJAY
sad;knapa yah masih aja hbs telfonan sama mama selalu bikin berantem dan nangis. capek bgt??
anger;"""Nemu temen yang asik, tp bikin kesel. Gue ga ngerespon bgt si pas dia bikin gue kesel. Tp pas gue bete ngapa lo bikin gue kesel? Haduh ****"""
joy;Hidup enak bgt ya tanpa ada omongan org lain
netral;Loose powder recommended dong
netral;"""YANG IKON ROLL FILM, SEBUT NAMA BAPAKNYE DI KOMEN"""
netral;Apa pendapat kamu sama upload/nyebar foto orang lain? Terutama foto cewe
joy;CHAT BEBAS AYOOK APA AJHAA -f
netral;Instal uninstal tell untuk kesekian kalinya
joy;Ayo yang lagi di jaksel besok kita bukber di jajanan belakang al jaar
joy;https://line.me/R/ti/g/01NhNUwulq join buat yg meras dia asiq aja
netral;Ada F daerah pamulang yg mau keluar malem ini?? M27
sad;Lama2 jadi Malasssssss
anger;"""Ada yg nyariin anak IT, kirain minta tolong apa gitu ya, ternyata buat di gebet anjir :) maap ya mb itu punya saya??"""
joy;Pengen gre pe deh gituu gemes M
sad;"""udah masang alarm 5 berturut-turut dengan selingan per 5 menit terus hpnya simpan dekat kepala tapi tetep aja ga bangun sahar, dasar aku kebonya kebangetan"""
joy;AYO YG MAU DISKUSI WKWKW
joy;"""Gurls kalian ngerasa gak sih hidup perebut gabakal tentrem ayem? Liat hidupnya mulan sekarang, dan hidup seorang penyabar kayak maia jadi ayem bgt ya"""
anger;TELL TEMPAT BERBAGI CERITA BUKAN BERBAGI GENDER ATAUPUN USIA
anger;"""Agak gimna ya sm tmn klo ngumpul trs dia ngobrol sok asik bgt (cuma berdua) dengan suara lantang pas kita pd nengok trs dia lgsg ngegas """"yeuu kepo"""" bgsd emg org kek gtu"""
netral;bu tuh apa ya? selain butuh uang
sad;Ini tell isinya ajang cari jodoh semua si:(
netral;"""Gua tomboy, tp klo ngebayangin masa depan keknya bisa jadi cewe bgt dah sm suami??"""
netral;Mendingan bukber sama tmn sd/smp/sma
joy;Dodo dodo~ dodo dodo~ aku suka dodooo~
anger;AKU MAU DENGERIN CERITA KAMU DONG IHHHHH
sad;"""Aku unfoll ig fiersa besari biar gak liat kamu, tp kenapa kamu justru muncul di youtube nya :')"""
sad;Kuingin curhat kuingin sambat
joy;Fc kuy bahas masa depan yang cerah wkwk. F20
netral;Why you wanna trip on me ??
sad;"""Ikut abang buber sama temen kuliahnya dulu. Lah kok mantan gue ikutan muncul. Ternyata mereka berteman, okey awkward kan jadinya. """
joy;"""gue nonis, tp seneng banget kalo udah bulan ramadhan. lingkungan rumah gue jadi rame banget yg biasanya sepi, gue seneng liatnya hehehe??"""
joy;"""YANG IKONNYA SAMA, JADIAN AJE"""
joy;Anon 1: gabut parah euy. M150 || anon 2: tidur aja || anon 3: dengerin musik || anon 4: vc s yuk || *akhirnya rame reply anon 4*
netral;Ajarin gw bikin baper cowk dong ..
netral;Emang Gregetnya chat sama cowo teknik itu apa ?
sad;Mau dapet gebetan yg lebih tua :(( M
sad;Gue sedih gue kesepian:(
anger;Kontollll byk amat org yg bikin kesel ya. Harus bgt ya gue yg lg badmood dibikin kesel. M
joy;F hijab gemesin deh gitu jadi pengen chat M
netral;F ada yg mau chat ? tp gw males nyari topiknya hahah M
netral;"""Baru pertama kali download & login, ada yang mau chat? #m"""
joy;Gue lagi ngeprank mantan gue wkwk pake lagu raisa - mantan terindah. Engeh ga ya dia? Wkwk
joy;Semangatin aku uas donggg. Doain juga lancar uas terkahir di perkuliahan wkwkw f21
joy;Chaat yuk yg blm bobooo -f
sad;"""Kenapa ya setiap mimpi buruk, pasti mau doa tidur"""
sad;Suka pengen ngeluh habis-habisan tapi yg ada malah makin stress kalau ngeluhnya sama teman seumuran karna kita sama-sama lagi di fase diperkosa hidup.
netral;Yang iconnya sapi kita buka berdua
netral;"""Buat cewek, kalian paling seneng produk skincare apa sih?"""
sad;nyesek liat foto doi dengan pacar nya huft
anger;"""Wajar ngga sih gue ngambek ama cowok gue gegara dia itu kebiasaan bgt nggapernah ngabarin kemana mana. Mending sejam duajam. Semaleman,-"""
love;kau takkan pernah sadari. betapa ku mencintaimu. kau yang selalu aku banggakan.
netral;Ada yg dari siak atau temannya dari siak?
joy;Demi kowe nduk sing ayu dewe
joy;freecall kuyyyy? mhere
sad;kesel gue ada kecoa di kasur??????
joy;Ahh enak nya menikmati roti dan coffee yang anget tanpa nge pap ke sosmed i feel so blessed
netral;"""M, TANYAIN GUE HAL YANG GA LAZIM DONG, NTAR GUE JAWAB"""
netral;Serius nanya. Mirc itu aplikasi apa?
anger;"""Kampusnya keren, tp kamu ngurusin selangkangan aq. Bhay az lach!"""
sad;"""Kenalan lewat DM, ngobrol bla bla, minta kontak, udah gitu gada kabar hmmmm"""
netral;"""Tamansari lagi galau, aku jg sama kok, kalem mari kita ke bonbin. """
netral;"""Mau dengar kisahku, kawan?"""
sad;How to not hate myself????
netral;"""Ayo berteman, relasi itu penting ya ga?"""
disgusted;Sok ganteng bgt sih hhhh
sad;Kira kira we sateh di tolak sama aku masa ngedeketin sabahat deket aku.
sad;Cowo gw sering ngambek g jls wajar ga
sad;"""Kadang gasadar temen chat itu nambah gt, ini udah 3 cewe. Padahal pengen satu aja. Suka maki maki diri gw sendiri wkwkwk, Aneh ya:( kok gini banget gw."""
netral;Takbiran pada mau jalan kemana?
netral;sebutin kriteria jodoh kaliaann!!
joy;Ada yang suka arak? Asik kek nya sharing sharing sambil nyekek botol
joy;"""hayang wequq onlen, yuk aa..."""
netral;Mau buat lip scrub. Adanya madu kurma berhasil ga? Atau madunya ganti vaseline?
joy;"""Bad guy seenak itu, gue ulang ulang terus. Di jalan berangkat dan pulang kampus. Tapi suatu saat ini bakal jadi lagu yang paling gue muak kalo denger??"""
sad;Lagi suka main ludo. Main sama gue yuk? :(
netral;Ada f anak psikolog? Wkwk Gue m21
anger;"""Tadi bukber trs ketemu gebetan, yg lain cie-ciein tmn2 gue. HEH KALO CIE2 DARI KALIAN BUAT DIA ILFEEL GIMANA ANJIR:("""
netral;Chat gueeee donggggggg
sad;mau nge-bar.. tapi jam 9 belum di rumah aja udah di hujani puluhan misscall dari Sang Perantara Uang Saku. huhu
sad;"""5 Mei gue baru selesai haid, loh ini kenapa gue udah haid lagi aja? Gue ga mau bolong banyak astaga??"""
joy;"""Yg mo ditemenin ngegame, fc sini yuk. Kgn nemenin ngegame. -f16"""
love;"""I swear to Zeus mba, if u want to be my girlfriend kalo lu suruh nyemplung ke palung Marina nyemplung gua"""
sad;Enaknya ngapain yaaaa... Tiduran doang
netral;"""Gue belom pernah dapet pulsa nyasar dah, padahal ini nomor udah 5 tahunan. Gak ada yang nomornya mirip2 nomor gue kali ya"""
fear;https://drive.google.com/file/d/1wdutscd39BVgZoOS7g5tZ0gD4fJdC-oI/view?usp=drivesdk dikit aja takut ngerusak telinga
joy;eh eh kok polka wars mandiri enak
netral;"""NENG, HARI INI NGAPAIN AJA?"""
joy;pen punya anak kayak xabiru lucunya. m21 yang kecilnya lucu
anger;"""shbt gw napa deh pgn bgt bukber di hotel A pdhl menunya standar anjir, kan 2 taun lalu udh disitu?! Dbdg itu kalo harga sama mndg di hotel B, kan ada banyak live cooking"""
joy;"""Ngakak mulu sama tweet yg, """"aku laper tapi aku glowing."""" :')"""
joy;Habis lebaran ke kebon binatang ah
anger;"""Gara2 ngajak cewe, ComDay gak dapet apa2, taee lah"""
sad;"""emang berharap tuh udah jadi kebiasaan manusia, terus sakithati lah yg jadi hadiahnya di penghujung harapan. hwaaa pgn nangis!!"""
netral;Disini ada perempuan yang suka main game? #m
sad;"""samar ku dengar, suara yang selalu ku kenal itu suaramu, kau terlihat bahagia bersamanya, dia kekasihmu yang baru~"""
sad;Kenapa ya linu pms itu sakitnya sakit bgt
netral;Ada yg mau chat ngga? Bahas apapun deh F
netral;"""Mau nanya nih bagi yg udah selesai kuliah, menurut kalian organisasi itu penting atau ga terlalu? Tolong kasih gambaranny ntar kedepannya gimana """
netral;"""Kalo pas haid, tapi tetep berhubungan gituan, aman ga sih?"""
netral;emg kl mau nuker duit baru receh gt ke bank hrs bawa buku tabungan ya?
sad;Bahas bukber ga kelar-kelar sampe mau lebaran dan endingnya pun gajadi
sad;"""Emang bener ya, berharap dan percaya sama manusia itu kesalahan terbesar ha ha ha"""
netral;Ada yang deket kotwis? Resto kajoemanis enak ga?
sad;Ditinggal anon yang ngajak fc-an sudah sejam.... apa aku diphpkan? Udah move btw
netral;Ini cara liat pesan gimana dah tampilan baru
disgusted;Disgusting. Unpleasant.
joy;Chaaaaat yukk gabuut nih -f
sad;Gue baru inget td pagi motong ujung rambut biar ngebentuk huruf U duh jelek ga sih bsk wkwkwk tp kyknya ga bakalan kentara kalo di ponytail(untung masih panjang:')
netral;"""Sebut zodiak kalian, yg sama chatlah"""
sad;Aku lapar aku miskin tp aku glowing
netral;Now playing Nyawa Hidupku - Ada Band
netral;Ada cewe yg mau freecall? Gw m
sad;Ga bisa tidur. Vc line? -m
sad;bagi gue gopay kek yg baik.
sad;Kalo diinget-inget udah 5 kali gue ngalamin itu dan sampe skrg gue mau 21 tahun gue gak pernah lupa sama detail kejadiannya. I feel lost when it replays in my mind....
sad;"""i wanna build a relationship with someone who cares about """"why"""" i've been quiet all day. not someone who gets mad cause i'm """"acting different” I AGREE WITH THIS"""
joy;"""Udah desperate yg isi kuisioner dikit, trs coba post di facebook. Tbtb wali kelas pas SD comment mau bantu sebar ke WA. HUE SENENG BGT GUE :"""")))))"""
sad;Tolong ini tell ngapa magnetnya kuat amat. Kan aingtu mau uas besok :(
sad;"""Sepertinya aku ga akan jadian sm anon tell yg ini deh. Jumlah ketemuan aja udah dia targetin :"""""""""""""""
joy;Lagi mau dengerin org curhatt dahhh -f
joy;knp ya cowok badboy muka sakau gt kok kayanya rawrrrr bgt
anger;"""denger cerita temen yang bisa sampe o n s sm stranger kinda make me envy, tapi o n s juga bukan hal yg bisa dibanggain. gue M, cowo2 jangan asal chat bgst-_-"""
sad;"""Ade gue lg banyak duit sombong bgt astaga, disuruh beli baso malah ngasih duitnya dan gue disuruh jalan sendiri:) m"""
joy;ada discord?? free call yuk m here tua pula
sad;"""Kalo bulan puasa selalu bisa nahan napsu sampe sebulan, giliran ga puasa aja seminggu sekali """"solo""""... Dasar aku. """
sad;Vc/fc ? Tp gue ga cakep :)
joy;"""Dulu jm segini kita baru chattan trus agak mlman kita tlfnan sampai subuh, yaampun kangen!"""
netral;Gimana sih perasaan kalian kalo suka sama teman cowok yg ga deket2 amat secara diam2?
sad;sahabat gue ngaku udah gak pw. yaudh dong gue jelasin ke dia nanti ada kok yang mau sama lu ngejaga lu. trus dia .... continue
sad;Huaaa kangen tiga tjeret :(((
netral;"""Ukhti kurusss, chat kuy, move fake acc juga gpp. M"""
joy;Selamat malam netijen ! Siang ini adalah pagi yang spesial untuk kita semua
netral;DI TEMPAT KALIAN SKRG LAGI UJAN GAAA
netral;Alesan cowok suka dalam diam apa sih? Kalo cewek gua ngerti lah alasannya. Kalo cowok knp deh?
sad;"""Dari tadi isi whatsapp cuma chat grup, malang sekali nasibku ini"""
netral;Nyari cewe yg siap nikah ada??
netral;Ada yg mau rp bebas? M 21 goodlook
confused;"""Mau minta temenin ngerjain tugas, tapi aku bingung -f"""
sad;Gue capek punya partner yang sama downnya kaya gue. It wont take us anywhere.
netral;"""Buat target yang gampang2 aja dulu. Jadi malu-maluin kalau ga kesampaian. Misal push up 5x perhari, udah konsisten 2-3 minggu, baru naikin jadi 10, begitu seterusnya"""
sad;Ikan hiu didalam tong i love u tapi boong
sad;"""Si anon ngilang seharian, cariin jangan? iya tau, gak ada hak tapi jadi kepikiran"""
netral;"""Kalo menjelang tidur,suka mikir gitu gua selama ini idup mau jadi apaan ya?"""
sad;Go on and take my heart and break it
sad;akhirnya temen chat yg gue anggep plg nyambung uninstall.
netral;Yang bisa berubah jadi hulk chatan yuk soalnya kata orang aku mirip black widow
netral;"""Yggg maoo chat , message aja gue..m20"""
netral;Disini ada yg sampe pacaran kah?
netral;salah ngga kalo males bales chat dari anon?wkwkwk
netral;Aplikasi MIRC ternyata masih ada ya? Padahal udah lama loh
confused;kalo gaada notifnya itu kenapa si?
sad;Ga pernah ada pengalaman seumur idup gua disukain sama cewe hm ??
anger;Asli plank doang capek gila.
netral;"""Tmn gue tiap hari nongkinya ke tempat elit mulu di storynya. Kmrin McD, sbux, makanan yg mahal lainnya,nginep di hotel walaupun sekota.Ga ngerti dah di kasih uang brp"""
sad;I hate you but i love you. I wanna leave you but can't leave you. How to make my mine be logic.
netral;"""Buenos noches, que estas haciendo?"""
joy;ada yang jurusan bundaran jakarta? HEHEHEHE
netral;Ada f anak organisasi? Chat yuk m19 kupu kupu
sad;Bales anon pas lagi gabut doang salah ga sih?:(
joy;"""Vc via line aja kuy, m24 here"""
sad;gimana caranya biar limit paylater traveloka ditambahin??
sad;Kan gue nyuruh temen gue install app ini eh dia iseng iseng ngajak fc sekalinya ketemu dapet supir gtu yaa hmm
joy;https://twitter.com/Haidar_Bagir/status/1130108825816559616?s=09 ini keren parah :')
netral;ada yg blm perna pacaran?
love;Bacok aku dengan sejuta kerinduan mba aku rela
joy;"""Adek gua disuruh nyuci piring sama nyokap, eh beneran dong cuma piring sama garpu sendok doang yang di cuci. Gelasnya ditinggalin????"""
joy;follow playlist spotify saya niscaya kamu akan saya doakan masuk surga
anger;"""Mnet evil editing mulu, tim exo mama pas intronya ga dikasi liat siapa anjir. Emosi gua"""
love;"""you can take my heart for a walk on the beach, you can take my heart for a little trip. but not every heart, belong to any others. ~~"""
netral;"""Coba cara klasik, saya f19."""
sad;"""suka gemes liat mas2 bawa adek cewenya yg masih kecil ke mall atau kmn gt, bawaannya mau ngikut aja:("""
netral;Ada yg pake tonernya mineral botanica nggak?
sad;Emang salah kalo gue pendek tapi berotot?
sad;"""Lagi dititik bingung mau ngapain, cerita sama siapa. Mau cari kerja kaya bingung kemana, cari pasangan apalagi. Selalu terbesit """"hidup aku untuk apa? Ga guna bgt"""" """
joy;Besok upacara wkwkwkkwk
netral;"""Youtube ke restricted mode sama operator wifi, ada saran app pengganti utube asli/ cara ngilangin restricted modenya?"""
sad;"""Jadi kemaren gue nyuci baju pake mesin, eh pas lg mau muter lagi w liat ada softek nya dong, aseli lupa kalo ada softek di ember cucian. Itu kapasnya udh gaada semua-c-"""
joy;"""I'm just wondering, gue cewe tp kalo liat cewe lain yg seksi gt suka jd nafsu. Tp nafsu bayangin gue sm cowo gt. It's normal atau gue punya kecenderungan sama cewe? """
netral;buat ppt dari hp bisa kan?
joy;"""Emang enak bgt deh kalo udah pulang kerumah,udah perbaikan gizi,mau apa aja gampang,mamaqu tercinta memang:"""""""
